enzid	name
5664	hi015
8476	hi015
339500	hi015
375	hi015
2987	hi015
84033	hi015
81559	hi015
8290	hi015
92815	hi015
128312	hi015
149603	hi015
58480	hi015
5867	hi015
58	hi015
55746	hi015
23456	hi015
27097	hi015
2590	hi015
79605	hi015
183	hi015
84886	hi015
79573	hi015
440730	hi015
8443	hi015
149371	hi015
54583	hi015
57568	hi015
3775	hi015
359948	hi015
9804	hi015
23029	hi015
51742	hi015
9453	hi015
2786	hi015
1130	hi015
4811	hi015
7107	hi015
3964	hi015
88	hi015
4548	hi015
6262	hi015
1131	hi015
64388	hi015
6000	hi015
128025	hi015
9156	hi015
200150	hi015
9859	hi015
10000	hi015
10472	hi015
200159	hi015
159	hi015
3192	hi015
55083	hi015
64754	hi015
51097	hi015
84838	hi015
114548	hi015
127623	hi015
441933	hi015
391191	hi015
401992	hi015
79894	hi015
26751	hi015
52	hi015
7173	hi015
7837	hi015
23040	hi015
55256	hi015
6201	hi015
6664	hi015
91543	hi015
3398	hi015
9270	hi015
6868	hi015
10971	hi015
9014	hi015
29841	hi015
192668	hi015
6241	hi015
3241	hi015
4953	hi015
79954	hi015
10130	hi015
3754	hi015
130813	hi015
130814	hi015
9475	hi015
28951	hi015
1653	hi015
4613	hi015
81553	hi015
7447	hi015
79677	hi015
343930	hi015
3790	hi015
130497	hi015
9741	hi015
23369	hi015
388	hi015
338	hi015
54454	hi015
80304	hi015
2281	hi015
9540	hi015
50618	hi015
8648	hi015
109	hi015
5443	hi015
1788	hi015
1838	hi015
55252	hi015
3797	hi015
10890	hi015
9381	hi015
3777	hi015
1058	hi015
56896	hi015
22924	hi015
60509	hi015
11117	hi015
10113	hi015
150921	hi015
8884	hi015
790	hi015
7781	hi015
2976	hi015
8890	hi015
9784	hi015
130557	hi015
5496	hi015
200634	hi015
26160	hi015
64838	hi015
2646	hi015
84450	hi015
2355	hi015
5500	hi015
23160	hi015
238	hi015
51646	hi015
7498	hi015
84661	hi015
6683	hi015
55676	hi015
84272	hi015
57448	hi015
4052	hi015
25780	hi015
25940	hi015
51232	hi015
5212	hi015
54497	hi015
5610	hi015
10153	hi015
55471	hi015
23683	hi015
25797	hi015
92906	hi015
90957	hi015
729967	hi015
6654	hi015
8491	hi015
6546	hi015
27436	hi015
170850	hi015
57504	hi015
23498	hi015
678	hi015
10128	hi015
5495	hi015
9581	hi015
6496	hi015
10736	hi015
55133	hi015
5581	hi015
2034	hi015
5281	hi015
9655	hi015
285051	hi015
805	hi015
4436	hi015
56660	hi015
2956	hi015
80204	hi015
3344	hi015
10936	hi015
23198	hi015
98	hi015
6711	hi015
57142	hi015
6233	hi015
4528	hi015
55704	hi015
57223	hi015
87178	hi015
2202	hi015
55120	hi015
53335	hi015
64895	hi015
5966	hi015
150962	hi015
5194	hi015
9736	hi015
7514	hi015
10575	hi015
200728	hi015
23301	hi015
4190	hi015
7360	hi015
51542	hi015
57162	hi015
54812	hi015
9792	hi015
5861	hi015
10097	hi015
200734	hi015
4211	hi015
56902	hi015
25927	hi015
5341	hi015
9938	hi015
27302	hi015
84168	hi015
2673	hi015
27247	hi015
307	hi015
4084	hi015
5093	hi015
54980	hi015
7072	hi015
6637	hi015
84908	hi015
7039	hi015
119	hi015
25806	hi015
113419	hi015
10199	hi015
400961	hi015
27332	hi015
8291	hi015
56603	hi015
23233	hi015
2016	hi015
26056	hi015
10322	hi015
10574	hi015
150726	hi015
1961	hi015
9027	hi015
51002	hi015
8446	hi015
10617	hi015
72	hi015
200424	hi015
388962	hi015
10797	hi015
57835	hi015
1639	hi015
84759	hi015
3196	hi015
165545	hi015
550	hi015
27429	hi015
84695	hi015
1796	hi015
130951	hi015
3099	hi015
56655	hi015
6869	hi015
80059	hi015
5068	hi015
1496	hi015
347730	hi015
1768	hi015
83439	hi015
4144	hi015
8673	hi015
51255	hi015
10713	hi015
6439	hi015
10578	hi015
84913	hi015
25885	hi015
10989	hi015
65055	hi015
7844	hi015
64795	hi015
400966	hi015
51315	hi015
150572	hi015
2168	hi015
9451	hi015
22934	hi015
4118	hi015
84874	hi015
1844	hi015
56910	hi015
9391	hi015
23397	hi015
81562	hi015
26505	hi015
51239	hi015
54910	hi015
57730	hi015
1329	hi015
10120	hi015
7535	hi015
23505	hi015
1261	hi015
3631	hi015
11320	hi015
80705	hi015
254773	hi015
10190	hi015
9669	hi015
51455	hi015
3899	hi015
4862	hi015
6160	hi015
55571	hi015
9448	hi015
7850	hi015
3554	hi015
6549	hi015
130827	hi015
5455	hi015
64965	hi015
79074	hi015
2274	hi015
8440	hi015
80146	hi015
84620	hi015
60482	hi015
3987	hi015
5903	hi015
10913	hi015
151011	hi015
96626	hi015
729540	hi015
699	hi015
10018	hi015
64682	hi015
129804	hi015
84524	hi015
376940	hi015
150465	hi015
84172	hi015
6574	hi015
84639	hi015
7849	hi015
80255	hi015
10096	hi015
57628	hi015
8886	hi015
51141	hi015
2019	hi015
55240	hi015
80775	hi015
5775	hi015
57669	hi015
5899	hi015
3625	hi015
2736	hi015
23332	hi015
84365	hi015
7247	hi015
129684	hi015
274	hi015
2071	hi015
10746	hi015
5624	hi015
55677	hi015
55679	hi015
2840	hi015
84826	hi015
5433	hi015
83607	hi015
9394	hi015
55627	hi015
112714	hi015
50649	hi015
113457	hi015
116372	hi015
81615	hi015
905	hi015
22930	hi015
23518	hi015
4175	hi015
1615	hi015
7852	hi015
80731	hi015
339745	hi015
11249	hi015
53353	hi015
55843	hi015
9839	hi015
92	hi015
55777	hi015
3800	hi015
130574	hi015
390	hi015
9111	hi015
7130	hi015
55183	hi015
785	hi015
10254	hi015
114793	hi015
55660	hi015
56475	hi015
114805	hi015
3760	hi015
4929	hi015
2820	hi015
11227	hi015
130399	hi015
90	hi015
8502	hi015
92196	hi015
85461	hi015
151525	hi015
29994	hi015
64844	hi015
9936	hi015
3694	hi015
5937	hi015
10010	hi015
10213	hi015
10716	hi015
57282	hi015
1803	hi015
2641	hi015
2191	hi015
64135	hi015
90134	hi015
55137	hi015
2888	hi015
22837	hi015
6328	hi015
6326	hi015
2591	hi015
6323	hi015
6335	hi015
129446	hi015
8708	hi015
27347	hi015
115677	hi015
57405	hi015
4036	hi015
129880	hi015
10324	hi015
79675	hi015
9360	hi015
151230	hi015
6741	hi015
29081	hi015
130507	hi015
140469	hi015
389058	hi015
2571	hi015
26003	hi015
9874	hi015
79828	hi015
1781	hi015
8604	hi015
8520	hi015
1746	hi015
3655	hi015
5163	hi015
83879	hi015
6670	hi015
29789	hi015
7456	hi015
1123	hi015
1386	hi015
518	hi015
344191	hi015
3239	hi015
3238	hi015
3237	hi015
3236	hi015
3235	hi015
3234	hi015
3233	hi015
3232	hi015
3231	hi015
10651	hi015
220988	hi015
4780	hi015
8540	hi015
50940	hi015
114880	hi015
8575	hi015
494513	hi015
65977	hi015
7273	hi015
285025	hi015
91404	hi015
151126	hi015
3676	hi015
375298	hi015
4760	hi015
151242	hi015
5136	hi015
54431	hi015
2487	hi015
10787	hi015
129401	hi015
91752	hi015
55854	hi015
3685	hi015
10203	hi015
7035	hi015
51454	hi015
1281	hi015
1290	hi015
84128	hi015
30061	hi015
150709	hi015
94101	hi015
2660	hi015
4664	hi015
6772	hi015
6775	hi015
8436	hi015
23671	hi015
57181	hi015
56171	hi015
9262	hi015
57520	hi015
284992	hi015
9330	hi015
80055	hi015
91526	hi015
23451	hi015
3329	hi015
3336	hi015
130132	hi015
66037	hi015
5334	hi015
23314	hi015
130535	hi015
9689	hi015
1195	hi015
841	hi015
66008	hi015
151254	hi015
58538	hi015
57679	hi015
8324	hi015
659	hi015
55759	hi015
79800	hi015
65065	hi015
57404	hi015
10152	hi015
65059	hi015
940	hi015
1493	hi015
117583	hi015
8828	hi015
1933	hi015
2825	hi015
8745	hi015
8609	hi015
1385	hi015
151195	hi015
7855	hi015
389072	hi015
1421	hi015
3417	hi015
5746	hi015
4133	hi015
6120	hi015
4632	hi015
10314	hi015
1373	hi015
2066	hi015
22807	hi015
580	hi015
471	hi015
2335	hi015
7520	hi015
57574	hi015
6168	hi015
3485	hi015
3488	hi015
7141	hi015
7145	hi015
10109	hi015
14	hi015
25953	hi015
64114	hi015
375307	hi015
58190	hi015
7429	hi015
57695	hi015
9125	hi015
84812	hi015
617	hi015
64320	hi015
27148	hi015
1593	hi015
53632	hi015
7475	hi015
80326	hi015
8941	hi015
54738	hi015
3549	hi015
79137	hi015
55139	hi015
79411	hi015
8576	hi015
7277	hi015
5798	hi015
23549	hi015
1674	hi015
10290	hi015
29926	hi015
130612	hi015
23363	hi015
3623	hi015
2043	hi015
5077	hi015
130367	hi015
10056	hi015
2181	hi015
23704	hi015
7857	hi015
5270	hi015
8452	hi015
55619	hi015
3667	hi015
1285	hi015
6364	hi015
55022	hi015
92737	hi015
9320	hi015
130888	hi015
6672	hi015
51719	hi015
81618	hi015
5707	hi015
80210	hi015
93010	hi015
4691	hi015
5761	hi015
5147	hi015
64708	hi015
4880	hi015
9470	hi015
80303	hi015
26058	hi015
25791	hi015
55054	hi015
6295	hi015
55355	hi015
10123	hi015
2637	hi015
10920	hi015
1293	hi015
79083	hi015
140739	hi015
51540	hi015
80895	hi015
8864	hi015
51665	hi015
9759	hi015
150677	hi015
2817	hi015
285193	hi015
57140	hi015
547	hi015
189	hi015
25992	hi015
23178	hi015
3069	hi015
4735	hi015
10494	hi015
51078	hi015
728294	hi015
10752	hi015
27255	hi015
3568	hi015
51185	hi015
57633	hi015
3708	hi015
55207	hi015
9695	hi015
2917	hi015
29995	hi015
859	hi015
56852	hi015
9901	hi015
55209	hi015
375323	hi015
64419	hi015
151835	hi015
7862	hi015
4968	hi015
8536	hi015
63924	hi015
84818	hi015
2177	hi015
115795	hi015
6396	hi015
491	hi015
6538	hi015
6529	hi015
9686	hi015
6854	hi015
7079	hi015
5468	hi015
5894	hi015
23066	hi015
6161	hi015
9922	hi015
2199	hi015
7476	hi015
348825	hi015
7508	hi015
6533	hi015
80852	hi015
84077	hi015
152273	hi015
7182	hi015
64145	hi015
9467	hi015
23243	hi015
117248	hi015
285381	hi015
1618	hi015
23228	hi015
9779	hi015
5868	hi015
79750	hi015
7325	hi015
7324	hi015
6138	hi015
9975	hi015
7068	hi015
5915	hi015
7155	hi015
55768	hi015
116135	hi015
9497	hi015
8320	hi015
64343	hi015
27303	hi015
7048	hi015
201595	hi015
114884	hi015
23171	hi015
51143	hi015
25904	hi015
131405	hi015
26032	hi015
25827	hi015
7342	hi015
23122	hi015
10015	hi015
6769	hi015
85443	hi015
4292	hi015
2803	hi015
10217	hi015
50853	hi015
5333	hi015
9940	hi015
4615	hi015
9943	hi015
9942	hi015
93	hi015
6331	hi015
6336	hi015
57599	hi015
64689	hi015
1524	hi015
54977	hi015
25924	hi015
10289	hi015
9045	hi015
1499	hi015
22906	hi015
7433	hi015
9117	hi015
51188	hi015
4820	hi015
92999	hi015
131377	hi015
25994	hi015
54861	hi015
353274	hi015
285349	hi015
10168	hi015
7584	hi015
57456	hi015
56992	hi015
131616	hi015
51304	hi015
23016	hi015
7123	hi015
23395	hi015
8994	hi015
22908	hi015
10803	hi015
1230	hi015
79442	hi015
259236	hi015
29072	hi015
23276	hi015
10675	hi015
6599	hi015
22907	hi015
993	hi015
820	hi015
51385	hi015
7384	hi015
5576	hi015
788	hi015
55152	hi015
3615	hi015
54870	hi015
5859	hi015
3913	hi015
64925	hi015
200942	hi015
7375	hi015
2876	hi015
387	hi015
6988	hi015
275	hi015
1605	hi015
8927	hi015
63891	hi015
29925	hi015
79012	hi015
4486	hi015
84315	hi015
10180	hi015
10181	hi015
6405	hi015
2779	hi015
10991	hi015
2771	hi015
7869	hi015
132228	hi015
7866	hi015
8692	hi015
11334	hi015
11186	hi015
11070	hi015
9254	hi015
51161	hi015
1154	hi015
